Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.00832476	9.70067e-05	9.59049e-05
15	0.0716304	0.000178846	0.000178436
25	0.206332	0.000638929	0.000637471
35	0.365153	0.00336426	0.00335123
45	0.639669	0.00769125	0.00776244
55	0.767211	0.00697714	0.00712305
65	0.838745	0.00611638	0.00630535
75	0.872792	0.00552541	0.00573306
85	0.889752	0.00534248	0.00557291
95	0.915359	0.00490565	0.00516935
105	0.926191	0.0046331	0.00490747
115	0.923148	0.00470876	0.00497964
125	0.93627	0.00433318	0.00461559
135	0.9438	0.00403794	0.00431929
145	0.944787	0.00402393	0.00430883
155	0.951295	0.00378968	0.00407922
165	0.947864	0.00395141	0.0042439
175	0.952623	0.00379841	0.00409829
185	0.952802	0.00384958	0.00415903
195	0.953018	0.00403373	0.00437583
205	0.959123	0.00382565	0.00418343
215	0.959872	0.00394023	0.00432808
225	0.966208	0.00369639	0.0041073
235	0.95812	0.00433153	0.00478076
245	0.954156	0.00470755	0.00518959
255	0.967861	0.00405304	0.00457801
265	0.966507	0.00440558	0.00500138
275	0.967723	0.00428601	0.00487247
285	0.962963	0.00478058	0.00541124
295	0.967277	0.00455593	0.00521134
305	0.978079	0.00371255	0.00438233
315	0.969359	0.00455029	0.00525384
325	0.97434	0.00427792	0.00503276
335	0.975291	0.00418061	0.00493122
345	0.970149	0.0046498	0.0054076
355	0.969267	0.00484636	0.00564582
365	0.973035	0.00449336	0.00528443
375	0.970389	0.0049297	0.00579359
385	0.968878	0.00497089	0.00580191
395	0.973299	0.00472642	0.00561564
405	0.973041	0.00469695	0.00556509
415	0.977698	0.00439842	0.00533654
425	0.970082	0.0051282	0.00605552
435	0.973881	0.00486393	0.0058323
445	0.974038	0.00475152	0.00567979
455	0.973913	0.00469447	0.00559458
465	0.978444	0.00443143	0.00542236
475	0.978474	0.00452374	0.00556056
485	0.975904	0.00484657	0.00590046
495	0.980601	0.0042758	0.00531293
505	0.975916	0.00494713	0.00604848
515	0.982318	0.00410712	0.00516692
525	0.982255	0.00423933	0.00536878
535	0.987526	0.00353892	0.0046991
545	0.974147	0.00509296	0.00617247
555	0.984955	0.00382492	0.0049238
565	0.988648	0.00336068	0.00452152
575	0.983425	0.00421195	0.00541874
585	0.977778	0.00489391	0.00607508
595	0.990971	0.00311868	0.00442273
605	0.976999	0.00494371	0.00610337
615	0.984865	0.00397989	0.0051688
625	0.992553	0.00274228	0.00398795
635	0.98556	0.00409474	0.0054324
645	0.985866	0.00400824	0.00531837
655	0.976325	0.00508754	0.00627953
665	0.981756	0.00448958	0.00572616
675	0.987965	0.00356231	0.00479129
685	0.988584	0.00353923	0.00483125
695	0.982619	0.00441594	0.00567936
705	0.985507	0.00410952	0.00545189
715	0.986998	0.00384772	0.00517286
725	0.992701	0.00289159	0.00433425
735	0.979218	0.00496048	0.00627497
745	0.988651	0.00370241	0.00514023
755	0.987966	0.00373034	0.0050906
765	0.978177	0.00520723	0.00658456
775	0.990172	0.00339396	0.00481103
785	0.986453	0.0040083	0.00538738
795	0.990838	0.00337288	0.00490013
805	0.982301	0.00465086	0.00603386
815	0.989529	0.00361559	0.00512341
825	0.983376	0.00453085	0.00593905
835	0.989937	0.0034749	0.00492514
845	0.990136	0.00340649	0.0048287
855	0.987745	0.00379871	0.00518335
865	0.986894	0.00406176	0.00554
875	0.991837	0.00323336	0.00484391
885	0.994624	0.00257131	0.00423056
895	0.994681	0.00254397	0.00418577
905	0.992366	0.00302385	0.00453154
915	0.99336	0.0028652	0.004467
925	0.990728	0.00341302	0.00495812
935	0.990371	0.00354422	0.00514766
945	0.987063	0.00400938	0.005469
955	0.990463	0.00351048	0.00509893
965	0.987838	0.00396685	0.00550509
975	0.993234	0.00291943	0.00455114
985	0.992816	0.0030996	0.00483061
995	0.995739	0.00231831	0.00412774
