E_ion	dE_ion_sys	E_NR	dE_NR_stat	dE_NR_sys	Y	dY_stat	dY_sys
0.30	0.06	1.79	0.07	0.11	0.168	0.006	0.034
0.44	0.06	2.26	0.04	0.10	0.193	0.004	0.027
0.64	0.06	2.97	0.04	0.09	0.215	0.003	0.020
0.91	0.05	3.75	0.04	0.10	0.243	0.003	0.015
1.25	0.05	4.87	0.04	0.11	0.258	0.002	0.011
1.67	0.04	6.07	0.05	0.13	0.274	0.003	0.009
2.15	0.03	7.67	0.06	0.12	0.280	0.002	0.006
2.70	0.02	8.93	0.08	0.14	0.302	0.003	0.005
3.32	0.02	10.77	0.09	0.16	0.308	0.003	0.005
4.00	0.01	12.52	0.12	0.17	0.320	0.003	0.004
4.76	0.01	14.48	0.11	0.19	0.329	0.003	0.004
5.59	0.02	16.23	0.14	0.21	0.344	0.003	0.005
6.49	0.02	18.19	0.20	0.21	0.357	0.004	0.004
7.45	0.02	20.67	0.18	0.25	0.360	0.003	0.004
