% Model:              basic_detector.mph
% Version:            COMSOL 5.2.0.220
% Date:               Feb 19 2020, 21:11
% Dimension:          3
% Nodes:              20038
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        cm
% x                       y                        z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         1.1861681356502585       1.8907939687880522       0                        0                        0                        0
0                         1.19992534609532         1.8500000000000003       0                        0                        0                        0
-6.938893903907228E-18    1.1573696340270763       1.8500000000000003       0                        0                        0                        0
4.3368086899420177E-19    1.3767638585876192       1.8525439809724868       0                        0                        0                        0
0                         1.3753143715476266       1.8517024863720457       0                        0                        0                        0
4.3368086899420177E-19    1.371700409601338        1.85522771236098         0                        0                        0                        0
4.3368086899420177E-19    1.3703031353663362       1.8500000000000003       0                        0                        0                        0
0                         1.3767002909364139       1.8500000000000003       0                        0                        0                        0
4.3368086899420177E-19    1.3834098585329901       1.8500000000000005       0                        0                        0                        0
0                         1.890727270612583        1.9029885793410513       0                        0                        0                        0
0                         1.864250266876983        1.8500000000000005       0                        0                        0                        0
0                         1.963726800348702        1.8500000000000003       0                        0                        0                        0
0                         1.5578625423709718       1.8665589222927421       0                        0                        0                        0
0                         1.5605688028394038       1.85                     0                        0                        0                        0
0                         1.530728226506727        1.8500000000000005       0                        0                        0                        0
0                         1.575963055283936        1.85                     0                        0                        0                        0
1.734723475976807E-18     1.6996551898441432       1.8500000000000003       0                        0                        0                        0
0                         1.6545059063849799       1.8500000000000003       0                        0                        0                        0
0                         1.658950177786247        1.894486839334659        0                        0                        0                        0
3.469446951953614E-18     1.7998958512998477       1.951508858310591        0                        0                        0                        0
3.469446951953614E-18     1.7839374182891163       1.9800000000000009       0                        0                        0                        0
-1.734723475976807E-18    1.823037716063687        1.9800000000000009       0                        0                        0                        0
-1.734723475976807E-18    1.7645977112116342       1.9180991298248649       0                        0                        0                        0
0                         1.7406866373482046       1.9800000000000009       0                        0                        0                        0
0                         1.7910557577420076       1.8500000000000005       0                        0                        0                        0
0                         1.7427589305399238       1.8500000000000005       0                        0                        0                        0
3.469446951953614E-18     1.5776223415358344       1.9401569052975016       0                        0                        0                        0
3.469446951953614E-18     1.5936172947327503       1.9800000000000009       0                        0                        0                        0
0                         1.542096910208139        1.9800000000000009       0                        0                        0                        0
-3.469446951953614E-18    1.5037652278654035       1.9123863889707304       0                        0                        0                        0
1.734723475976807E-18     1.3988936154391072       1.980000000000001        0                        0                        0                        0
0                         1.3703767970757892       1.9800000000000009       0                        0                        0                        0
-1.734723475976807E-18    1.4221304808860187       1.9342499503670947       0                        0                        0                        0
-1.734723475976807E-18    1.417859505739237        1.9800000000000009       0                        0                        0                        0
-1.3877787807814457E-17   1.4599643533930924       1.8500000000000005       0                        0                        0                        0
-1.734723475976807E-18    0.6737437115931734       1.8500000000000005       0                        0                        0                        0
-3.469446951953614E-18    0.6521576097231357       1.8500000000000003       0                        0                        0                        0
1.734723475976807E-18     0.6686472261067116       1.8759581139908796       0                        0                        0                        0
3.469446951953614E-18     0.5687264811601778       1.9470581457507907       0                        0                        0                        0
0                         0.5280970663856437       1.9800000000000013       0                        0                        0                        0
3.469446951953614E-18     0.5626048263238488       1.980000000000001        0                        0                        0                        0
3.469446951953614E-18     0.6100198010636013       1.9800000000000013       0                        0                        0                        0
3.469446951953614E-18     0.5534222363582331       1.8500000000000008       0                        0                        0                        0
3.469446951953614E-18     0.5141828317659566       1.8939168805064304       0                        0                        0                        0
3.469446951953614E-18     0.5175552372224654       1.8500000000000005       0                        0                        0                        0
3.469446951953614E-18     0.3938687896701816       1.8500000000000003       0                        0                        0                        0
3.469446951953614E-18     0.4041539068445834       1.8812464130081161       0                        0                        0                        0
1.734723475976807E-18     0.37931653725795406      1.8781004344812684       0                        0                        0                        0
0                         0.3712419499337458       1.8500000000000003       0                        0                        0                        0
0                         0.8377120268365126       1.980000000000001        0                        0                        0                        0
-1.734723475976807E-18    0.8537661848582963       1.9453341035053897       0                        0                        0                        0
0                         0.8680308062391658       1.9800000000000009       0                        0                        0                        0
