Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.816062	0.00555314	0.00568368
15	0.821414	0.00143068	0.00143966
25	0.786643	0.0020655	0.00208009
35	0.687382	0.00718445	0.00727412
45	0.600269	0.01297	0.0131085
55	0.583677	0.0144889	0.0146308
65	0.572076	0.0152768	0.0154113
75	0.534078	0.0171837	0.0172624
85	0.50508	0.0197507	0.019766
95	0.484553	0.0209737	0.0209215
105	0.482	0.0233594	0.0232843
115	0.522892	0.0256329	0.0257485
125	0.492837	0.0281734	0.0281302
135	0.581006	0.0271957	0.0276716
145	0.524324	0.0272066	0.0273447
155	0.513736	0.0274914	0.0275707
165	0.512748	0.0279404	0.0280163
175	0.532468	0.0266024	0.0267794
185	0.506812	0.027401	0.02744
195	0.556474	0.0272497	0.0275767
205	0.526316	0.0275475	0.0277008
215	0.543367	0.0262829	0.026515
225	0.559585	0.0263655	0.0266895
235	0.490667	0.0271368	0.0270846
245	0.527919	0.0263099	0.0264586
255	0.565684	0.0267825	0.0271525
265	0.489051	0.0258687	0.0258129
275	0.520408	0.0264182	0.0265274
285	0.527919	0.0263099	0.0264586
295	0.548077	0.0254497	0.0256919
305	0.504785	0.0256067	0.0256307
315	0.459854	0.0258697	0.025665
325	0.434679	0.0254786	0.0251536
335	0.53202	0.025879	0.0260444
345	0.483333	0.0255841	0.025501
355	0.512821	0.0252356	0.0252982
365	0.537897	0.0257446	0.0259388
375	0.503464	0.0251438	0.0251606
385	0.467153	0.0258773	0.0257099
395	0.536199	0.0247364	0.0249077
405	0.532374	0.0255193	0.025682
415	0.513126	0.0255467	0.0256123
425	0.521303	0.0261713	0.0262832
435	0.525229	0.0249714	0.0250925
445	0.501259	0.0263155	0.0263222
455	0.53	0.026092	0.0262493
465	0.550122	0.02566	0.0259169
475	0.484234	0.0248512	0.0247769
485	0.494305	0.0249849	0.0249577
495	0.496552	0.0251001	0.0250835
505	0.529138	0.0251628	0.025305
515	0.495455	0.0249531	0.0249314
525	0.502193	0.0244778	0.0244878
535	0.49409	0.0254742	0.025445
545	0.45614	0.0244936	0.0242924
555	0.506494	0.0243002	0.0243295
565	0.474537	0.0252137	0.0250903
575	0.527473	0.0244126	0.0245389
585	0.485222	0.0260398	0.0259635
595	0.528708	0.0255077	0.0256515
605	0.524362	0.0251259	0.0252442
615	0.561151	0.0253149	0.0256222
625	0.503448	0.0250835	0.0251001
635	0.502242	0.0247622	0.0247727
645	0.485459	0.0247628	0.0246948
655	0.4819	0.0249116	0.0248259
665	0.540909	0.0247662	0.0249608
675	0.518779	0.0253044	0.0253967
685	0.522277	0.0259972	0.0261128
695	0.506977	0.0252248	0.0252588
705	0.515991	0.0240796	0.0241509
715	0.52795	0.0236644	0.0237852
725	0.509804	0.0243727	0.0244174
735	0.491991	0.0250485	0.0250102
745	0.462845	0.0240925	0.0239277
755	0.517588	0.0262225	0.0263152
765	0.462754	0.0248771	0.0247012
775	0.5	0.0251225	0.0251225
785	0.522678	0.0242144	0.0243168
795	0.525612	0.0245907	0.02471
805	0.493878	0.0235943	0.0235682
815	0.472574	0.0240201	0.0238992
825	0.506986	0.0232953	0.0233244
835	0.498851	0.0250951	0.0250895
845	0.545455	0.0247367	0.0249529
855	0.488987	0.0245589	0.0245081
865	0.544643	0.0245116	0.0247201
875	0.519397	0.024201	0.0242884
885	0.542923	0.0250207	0.0252292
895	0.46747	0.0257466	0.0255824
905	0.503513	0.0253273	0.0253446
915	0.509804	0.0243727	0.0244174
925	0.481405	0.0237591	0.0236789
935	0.534066	0.0243785	0.024535
945	0.502193	0.0244778	0.0244878
955	0.524017	0.0243455	0.0244552
965	0.549065	0.0250693	0.0253093
975	0.533937	0.0247493	0.0249099
985	0.512987	0.0242796	0.0243384
995	0.501129	0.0248523	0.0248576
