Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.840867	0.00343395	0.00349432
15	0.854932	0.000744225	0.000747399
25	0.830732	0.00106968	0.00107507
35	0.756414	0.0040941	0.00414077
45	0.717801	0.00735398	0.00747004
55	0.697481	0.00715151	0.00724693
65	0.679435	0.0070555	0.00713717
75	0.672131	0.00691818	0.0069926
85	0.659603	0.00711406	0.00718562
95	0.662175	0.00728644	0.00736301
105	0.666198	0.00729679	0.00737596
115	0.663468	0.00730598	0.00738372
125	0.65826	0.00729216	0.00736655
135	0.653461	0.00734389	0.00741656
145	0.659614	0.00730288	0.00737829
155	0.646732	0.0073579	0.007427
165	0.662648	0.00727617	0.0073528
175	0.660261	0.00737427	0.00745154
185	0.638557	0.00766559	0.00773565
195	0.63813	0.00788064	0.0079544
205	0.622426	0.00818977	0.00825906
215	0.635768	0.00841455	0.00849692
225	0.626712	0.00864849	0.00872882
235	0.6386	0.00906531	0.0091632
245	0.654048	0.00933599	0.00945379
255	0.637427	0.00963069	0.00974002
265	0.637414	0.0100986	0.0102187
275	0.625272	0.0102641	0.0103756
285	0.637306	0.0106014	0.0107336
295	0.633398	0.0108069	0.0109398
305	0.65285	0.0104917	0.0106389
315	0.635184	0.0111508	0.0112944
325	0.635651	0.0111889	0.0113341
335	0.647154	0.0112587	0.0114206
345	0.614247	0.0116012	0.0117294
355	0.647532	0.0116433	0.0118169
365	0.639932	0.0116482	0.0118113
375	0.627595	0.0121669	0.0123266
385	0.642814	0.0119593	0.0121354
395	0.646046	0.0122957	0.0124869
405	0.636195	0.0121754	0.012348
415	0.645367	0.0123134	0.012504
425	0.622552	0.0128446	0.0130144
435	0.648366	0.0124303	0.0126294
445	0.63955	0.0125795	0.012769
455	0.646272	0.0122899	0.0124812
465	0.634684	0.0130895	0.0132862
475	0.611823	0.0132756	0.0134392
485	0.62574	0.0134305	0.0136217
495	0.612216	0.0132537	0.0134174
505	0.64291	0.0133124	0.0135305
515	0.641887	0.0130669	0.0132753
525	0.657207	0.013219	0.0134605
535	0.639231	0.0135883	0.0138086
545	0.62368	0.0135803	0.013772
555	0.638992	0.0133366	0.0135485
565	0.627765	0.0136268	0.0138272
575	0.631285	0.0139153	0.0141309
585	0.647494	0.0139753	0.0142248
595	0.673878	0.0135221	0.013809
605	0.617056	0.0140875	0.0142812
615	0.637285	0.0137024	0.0139227
625	0.668702	0.0132487	0.0135137
635	0.665831	0.0139033	0.0141887
645	0.641132	0.0141306	0.0143726
655	0.649094	0.0139773	0.0142301
665	0.658576	0.0137549	0.014019
675	0.6648	0.0136109	0.0138824
685	0.634167	0.0142001	0.0144303
695	0.646141	0.0139825	0.0142295
705	0.658854	0.0142541	0.0145383
715	0.651222	0.0141171	0.0143796
725	0.658854	0.0142541	0.0145383
735	0.637733	0.0146158	0.0148672
745	0.62072	0.0147003	0.0149186
755	0.648115	0.0146135	0.0148876
765	0.651778	0.0146904	0.0149758
775	0.669708	0.0144966	0.0148161
785	0.671722	0.0143073	0.0146232
795	0.655722	0.014864	0.0151654
805	0.642402	0.0147726	0.0150397
815	0.666354	0.014736	0.0150577
825	0.644954	0.0148091	0.0150833
835	0.654982	0.0147456	0.0150406
845	0.655678	0.0146829	0.014977
855	0.670567	0.0143864	0.0147031
865	0.641144	0.014889	0.0151575
875	0.648184	0.01509	0.0153824
885	0.654751	0.0148961	0.0151964
895	0.654704	0.0151307	0.0154404
905	0.657356	0.0147894	0.0150917
915	0.655075	0.0148854	0.0151861
925	0.666034	0.0148321	0.0151573
935	0.636273	0.0155804	0.0158623
945	0.635585	0.0151806	0.0154468
955	0.650198	0.0153249	0.0156313
965	0.674303	0.0151015	0.0154601
975	0.675287	0.0147913	0.015138
985	0.661929	0.0154029	0.0157426
995	0.655479	0.0152586	0.0155755
