Energy [eVee]	eff	sigma_eff
0	0	0	
10	0.162884	0.0691755	
20	0.349008	0.0809965	
30	0.498238	0.0611834	
40	0.615739	0.0368186	
50	0.678462	0.0218365	
60	0.731015	0.0187251	
70	0.781491	0.0203102	
80	0.820511	0.0192211	
90	0.846721	0.0156759	
100	0.876029	0.00968481	
110	0.895223	0.0106565	
120	0.905932	0.0119819	
130	0.917447	0.0142524	
140	0.924129	0.01246	
150	0.931454	0.0104066	
160	0.936737	0.0107895	
170	0.941651	0.00969189	
180	0.945363	0.00883232	
190	0.949325	0.00645518	
200	0.955021	0.00836494	
210	0.960507	0.0104921	
220	0.964102	0.0105313	
230	0.967308	0.0119988	
240	0.970257	0.0127355	
250	0.973268	0.0147981	
260	0.97517	0.0154733	
270	0.977133	0.0148222	
280	0.978904	0.0153299	
290	0.979722	0.015565	
300	0.981132	0.0150723	
350	0.985579	0.0128877	
400	0.989289	0.00983389	
450	0.992753	0.00802855	
500	0.995692	0.00582985	
550	0.997317	0.00365088	
600	0.99862	0.00184272	
650	0.999036	0.00130618	
700	0.999397	0.00102657	
750	0.99966	0.000510696	
800	1	0	
850	1	0	
900	1	0	
950	1	0	
1000	1	0	
