Energy [eVee]	eff	d_eff_hi	d_eff_low
5	0.787736	0.0116212	0.0120889
15	0.930541	0.000868757	0.000878861
25	0.920132	0.000947283	0.000957588
35	0.7986	0.0046796	0.00476116
45	0.51816	0.025719	0.0258112
55	0.780952	0.041971	0.0479168
65	0.875	0.03969	0.051846
75	0.848485	0.0453331	0.0575786
85	0.884615	0.0448006	0.0625569
95	0.9	0.0425079	0.0619893
105	0.740741	0.0631848	0.0733577
115	0.818182	0.0539434	0.067368
125	0.9	0.0389436	0.0549522
135	0.86	0.0501519	0.0672437
145	0.813559	0.0526436	0.0649072
155	0.88764	0.0339718	0.0440674
165	0.7875	0.0476593	0.0557616
175	0.913043	0.0339488	0.0483269
185	0.88	0.0381504	0.0499752
195	0.844156	0.0424991	0.0527525
205	0.807692	0.0463024	0.0552486
215	0.846154	0.0419792	0.0521594
225	0.849057	0.0504861	0.0659802
235	0.836364	0.0514433	0.0657237
245	0.901639	0.0383173	0.0541285
255	0.868852	0.0440748	0.0582986
265	0.805195	0.0468641	0.0558537
275	0.802469	0.0459391	0.0543801
285	0.863636	0.0431735	0.0560342
295	0.911392	0.0320973	0.0444626
305	0.876712	0.0391632	0.0512072
315	0.837838	0.0441387	0.0546135
325	0.920635	0.0338524	0.0501238
335	0.863014	0.0411478	0.052678
345	0.823529	0.0427152	0.0513429
355	0.848485	0.0453331	0.0575786
365	0.716216	0.0555005	0.0620388
375	0.867647	0.0419465	0.0545661
385	0.883117	0.0371885	0.0488003
395	0.794118	0.0511112	0.0609614
405	0.811765	0.0439182	0.0522067
415	0.873239	0.0402311	0.0525007
425	0.837838	0.0441387	0.0546135
435	0.804124	0.0417548	0.0487799
445	0.865672	0.0425512	0.0552906
455	0.767123	0.0518416	0.0600978
465	0.807229	0.0449061	0.0532721
475	0.815789	0.04606	0.0555162
485	0.851351	0.0424361	0.053383
495	0.786517	0.0452121	0.0524299
505	0.866667	0.0400899	0.0514249
515	0.857143	0.0408498	0.0515424
525	0.893333	0.0360547	0.0483904
535	0.869048	0.037571	0.0476972
545	0.880597	0.0402397	0.0536015
555	0.868421	0.0395809	0.0508201
565	0.764706	0.0481323	0.0551028
575	0.721519	0.0532805	0.0595399
585	0.831461	0.0409024	0.0493424
595	0.833333	0.0419102	0.0509367
605	0.820513	0.044948	0.0542983
615	0.82716	0.0433764	0.0525654
625	0.875	0.03969	0.051846
635	0.819444	0.0469306	0.0570684
645	0.814815	0.0446945	0.0535068
655	0.806818	0.0436265	0.0514819
665	0.8375	0.0424767	0.0521118
675	0.873418	0.0381286	0.0490868
685	0.827586	0.0417893	0.0503234
695	0.818182	0.0491949	0.0602615
705	0.759494	0.0504137	0.0577859
715	0.859155	0.042263	0.0539926
725	0.789474	0.0487389	0.0573526
735	0.825	0.043888	0.053131
745	0.818182	0.0491949	0.0602615
755	0.815789	0.04606	0.0555162
765	0.76	0.0517393	0.0595406
775	0.918919	0.0316903	0.0452893
785	0.914634	0.0309441	0.0429513
795	0.914286	0.0334717	0.0476874
805	0.766234	0.0505146	0.0582936
815	0.907692	0.0360011	0.0510647
825	0.873563	0.0363211	0.0462169
835	0.826667	0.0451559	0.0551063
845	0.846154	0.0419792	0.0521594
855	0.776316	0.0499641	0.0581644
865	0.865672	0.0425512	0.0552906
875	0.738636	0.0492199	0.0552561
885	0.902439	0.0330464	0.0445902
895	0.826087	0.0471696	0.0580159
905	0.881579	0.0376633	0.0493808
915	0.833333	0.0473342	0.058983
925	0.793103	0.0451568	0.0527288
935	0.831325	0.0423879	0.0514686
945	0.782609	0.0518935	0.06119
955	0.869565	0.0413588	0.0538601
965	0.867647	0.0419465	0.0545661
975	0.842857	0.0447522	0.0560469
985	0.823529	0.0478261	0.0587462
995	0.808219	0.0478339	0.057445
